productName,sales,stock,date
Coffee Beans,120,180,2026-03-24
Green Tea,90,160,2026-03-24
Protein Bars,70,130,2026-03-24
Granola Mix,60,120,2026-03-24
Coffee Beans,128,176,2026-03-25
Green Tea,94,157,2026-03-25
Protein Bars,72,126,2026-03-25
Granola Mix,62,117,2026-03-25
Coffee Beans,134,172,2026-03-26
Green Tea,98,154,2026-03-26
Protein Bars,75,122,2026-03-26
Granola Mix,65,114,2026-03-26
Coffee Beans,140,167,2026-03-27
Green Tea,101,150,2026-03-27
Protein Bars,78,118,2026-03-27
Granola Mix,68,111,2026-03-27
Coffee Beans,146,163,2026-03-28
Green Tea,105,146,2026-03-28
Protein Bars,82,114,2026-03-28
Granola Mix,70,108,2026-03-28
Coffee Beans,152,158,2026-03-29
Green Tea,109,142,2026-03-29
Protein Bars,85,109,2026-03-29
Granola Mix,73,104,2026-03-29
Coffee Beans,158,154,2026-03-30
Green Tea,113,138,2026-03-30
Protein Bars,88,104,2026-03-30
Granola Mix,76,100,2026-03-30
Coffee Beans,165,149,2026-03-31
Green Tea,117,133,2026-03-31
Protein Bars,91,99,2026-03-31
Granola Mix,79,96,2026-03-31
Coffee Beans,172,145,2026-04-01
Green Tea,121,128,2026-04-01
Protein Bars,95,93,2026-04-01
Granola Mix,82,91,2026-04-01
Coffee Beans,180,140,2026-04-02
Green Tea,126,123,2026-04-02
Protein Bars,99,87,2026-04-02
Granola Mix,86,86,2026-04-02
Coffee Beans,188,134,2026-04-03
Green Tea,130,117,2026-04-03
Protein Bars,103,80,2026-04-03
Granola Mix,90,80,2026-04-03
Coffee Beans,196,128,2026-04-04
Green Tea,134,111,2026-04-04
Protein Bars,108,72,2026-04-04
Granola Mix,94,73,2026-04-04
Coffee Beans,205,121,2026-04-05
Green Tea,139,104,2026-04-05
Protein Bars,112,63,2026-04-05
Granola Mix,98,65,2026-04-05
Coffee Beans,214,113,2026-04-06
Green Tea,145,96,2026-04-06
Protein Bars,117,52,2026-04-06
Granola Mix,102,55,2026-04-06
Coffee Beans,224,104,2026-04-07
Green Tea,152,87,2026-04-07
Protein Bars,123,40,2026-04-07
Granola Mix,108,44,2026-04-07
Coffee Beans,150,92,2026-04-08
Green Tea,104,74,2026-04-08
Protein Bars,76,8,2026-04-08
Granola Mix,62,6,2026-04-08
